0.012	-1791709.995	0	0	0
0.012	4030921.152	-21500.51994	-129.0031196	-0.516012478
0.012	-997272.7265	48371.05383	32.22008373	-1.935169579
0.264	-113385.9218	-11967.27272	508.6490096	3.582142335
0.036	751157.0998	-29933.88335	-7110.632599	-630.4641701
0.168	-257164.3011	27041.65559	-590.8699998	-269.5389324
0.198	444588.9063	-43203.60258	913.8955235	79.11593726
0.198	-648864.2044	88028.60345	160.5184317	-90.7468091
0.132	1106484.281	-128475.1125	4710.627348	917.8629494
0.168	-732737.9306	146055.9251	-7319.023791	-73.32596348
0.268	290790.0843	-123099.9723	14196.99774	252.4829481
0.064	-499809.9735	77931.74259	-22547.93908	316.9241009
0.134	5435.48591	-31987.8383	3964.0207	-1305.300923
0.168	91902.86616	728.3551119	-4237.57054	246.1716856
0.364	-73045.58041	15439.68152	1419.296906	-629.0050415
0.17	85868.93923	-26588.59127	780.9204604	952.3250967
0.228	-2978.480557	14597.71967	-3279.254344	-181.1363158
0.036	-2728815.234	-679.093567	3250.863418	-374.1297275
0.168	1192640.523	-98237.34841	-1792.71964	95.37176316
0.028	-4083701.92	200363.6079	326.6685284	-744.9919488
0.034	135228.3833	-114343.6538	4009.369868	72.74834899
0.464	49728.67455	4597.765031	-3809.522223	71.11377969
0.168	-300973.3767	23074.10499	7486.555332	-444.7176833
0.036	1197114.278	-50563.52728	-370.8866538	1345.512233
0.264	-106112.5307	43096.11399	-1044.55693	-36.80832459
0.132	374684.3018	-28013.70811	7679.564623	900.6431173
0.036	-523547.1046	49458.32784	-433.559833	913.2740893
0.13	-300619.3751	-18847.69576	1441.241278	12.36974016
0.068	2703728.269	-39080.51876	-4990.434169	-81.97845754
0.1	-3565093.221	183853.5223	3593.544483	-288.0139017
0.032	2397350.198	-356509.3221	559.8861262	684.4398564
0.098	2907069.499	76715.20632	-10180.85501	-151.5236883
0.2	-1668974.734	284892.8109	21477.83795	-173.3189439
0.138	3277407.009	-333794.9467	23599.06751	7768.124164
0.096	-6054976.665	452282.1673	-14856.23311	1513.819432
0.034	4883067.887	-581277.7598	15517.75559	-234.924791
0.1	3605516.358	166024.3082	-16941.0306	223.6124948
0.1	-4130934.763	360551.6358	34630.01261	-263.0621257
0.03	1007923.899	-413093.4763	15400.48977	4577.270312
0.1	3661090.102	30237.71698	-11939.23853	280.6582862
0.1	-3986101.355	366109.0102	21329.22221	-432.5535847
0.134	2852930.971	-398610.1355	16680.39425	3299.117046
0.064	-4972837.686	382292.7501	-27800.14391	-199.4741978
0.036	1630332.274	-318261.6119	14282.36442	-1213.540252
0.076	1815369.574	58691.96185	-10400.96272	320.6090585
0.034	-192892.559	137968.0876	9703.37643	-488.1535015
0.108	-1352870.177	-6558.347006	4579.42308	408.3967784
0.064	2701608.379	-146109.9791	-8598.24035	172.2916135
0.132	-1365174.591	172902.9362	-3818.144705	-731.4855485
0.036	3561357.934	-180203.046	10929.78655	479.025634
0.03	1832972.192	128208.8856	-4179.549714	304.3938613
0.136	-1396063.862	54989.16577	4671.104055	-59.44411804
0.032	3398185.041	-189864.6852	-5432.272048	558.5204203
0.198	-285160.4187	108741.9213	-4335.799185	-252.4848031
0.232	431152.5707	-56461.7629	15941.18589	904.1497438
0.066	-840531.6719	100027.3964	-1495.95101	3076.168594
0.266	-28320.76	-55475.09034	4771.130182	78.85198714
0.698	38713.60217	-7533.322159	-15758.30588	-782.3150749
0.204	-388004.2199	27022.09432	4172.45205	-10640.21777
0.132	732610.024	-79152.86087	-2561.084568	864.4517137
0.032	3868511.388	96704.52317	-4065.679105	-746.8129516
0.098	-3198216.641	123792.3644	5075.222572	-59.46178531
0.032	5094722.08	-313425.2309	-3226.184599	590.1334265
0.036	-3906784.817	163031.1066	-7421.109682	-235.8876498
0.098	3084170.559	-140644.2534	3337.523275	-191.8949502
0.1	-3045482.023	302248.7148	1027.050189	135.5030188
0.03	1927574.307	-304548.2023	14997.46137	1106.368256
0.1	1459183.459	57827.22921	-8269.03763	321.5512343
0.012	1226386.311	145918.3459	13078.64022	-294.5703738
0.012	-8057806.102	14716.63573	1839.319965	167.8030027
0.013	784991.6056	-96693.67322	-403.5624106	20.81078919
