0.067000,5.644885,0.000082,0.000000,529.882459
0.067000,5.671452,1.189403,35.502125,-1424.468009
0.067000,5.759422,0.370827,-59.937232,129.963887
0.799000,5.656253,-3.353264,-51.229651,125.993918
0.800000,-2.664322,-4.068433,49.439489,-102.635926
0.700000,1.143302,2.639661,-32.669252,77.874095
0.100000,-0.561099,-1.149662,21.842614,-155.202488
0.700000,-0.592719,0.258587,6.322365,-16.606167
0.800000,0.187952,0.615732,-5.301952,10.028951
0.233000,-0.160283,-0.416565,2.721209,6.013833
0.233000,-0.170799,0.380719,4.122432,-33.537677
0.234000,-0.040895,0.430882,-3.691847,15.777123
